row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng côngVND,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng côngVND
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,3.393.187.130.601,-,76.348.421.538,-,-,3.469.535.552.139,,,3393187130601.0,,76348421538.0,,,3469535552139.0
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,41.822.856.617.208,2.987.935.273.199,102.343.594.411,95.145.720.680,-,45.008.281.205.498,,,41822856617208.0,2987935273199.0,102343594411.0,95145720680.0,,45008281205498.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.109.437.688.785,33.025.502.177.077,49.198.346.215.948,6.126.003.248.390,474.157.712,142.459.763.487.912,,,54109437688785.0,33025502177077.0,49198346215948.0,6126003248390.0,474157712.0,142459763487912.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(24.136.099.162),(152.757.783.013),533.156.540.019,-,-,356.262.657.844,,,-24136099162.0,-152757783013.0,533156540019.0,,,356262657844.0
"Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,5.954.805.000,45.852.880.760,5.890.275.823.635,-,5.942.083.509.395,,,,5954805000.0,45852880760.0,5890275823635.0,,5942083509395.0
Phát hành gỉây tờ cỏ giả,Nợ phải trả > Phát hành gỉây tờ cỏ giả,Phát hành gỉây tờ cỏ giả,-,-,200.312.500.000,59.200.000.000,13.230.900.000.000,30.520.300.000.000,-,44.010.712.500.000,,,200312500000.0,59200000000.0,13230900000000.0,30520300000000.0,,44010712500000.0
Các khoản nợ khác - góp,Nợ phải trả > Các khoản nợ khác - góp,Các khoản nợ khác - góp,-,-,483.635.328.459,662.413.296.891,5.978.393.454.976,669.248.641.330,2.091.027,7.793.692.812.683,,,483635328459.0,662413296891.0,5978393454976.0,669248641330.0,2091027.0,7793692812683.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,99.985.293.165.891,36.588.247.769.154,69.165.341.107.652,43.300.973.434.035,476.248.739,249.040.331.725.471,,,99985293165891.0,36588247769154.0,69165341107652.0,43300973434035.0,476248739.0,249040331725471.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,5.499.906.007.177,1.276.165.784.976,(52.593.291.400.582),(22.331.780.335.322),(6.428.584.060.480),11.200.927.945.552,97.687.490.722.006,34.310.834.663.327,5499906007177.0,1276165784976.0,-52593291400582.0,-22331780335322.0,-6428584060480.0,11200927945552.0,97687490722006.0,34310834663327.0
