row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2019,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.557.105.258.822,5.990.730.779.715,26.696.624.561.977,33.994.189.042.272,22.248.030.883.430,6.766.174.261.188,12.661.100.532.324,8.055.666.600.000,118.969.621.919.728,2557105258822.0,5990730779715.0,26696624561977.0,33994189042272.0,22248030883430.0,6766174261188.0,12661100532324.0,8055666600000.0,118969621919728.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,-,40.791.322.260,129.465.000.000,-,-,170.256.322.260,,,,,40791322260.0,129465000000.0,,,170256322260.0
Tiền gửi và vay các tổ chứctin dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctin dụng khác,Tiền gửi và vay các tổ chứctin dụng khác,-,-,12.896.317.920.057,4.517.049.735.634,273.905.083.019,465.043.435.339,213.952.463.800,2.597.068.939,18.368.865.706.788,,,12896317920057.0,4517049735634.0,273905083019.0,465043435339.0,213952463800.0,2597068939.0,18368865706788.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,27.269.259.660.413,12.538.406.133.156,17.836.932.310.570,9.999.756.972.636,1.497.701.217.666,-,69.142.056.294.441,,,27269259660413.0,12538406133156.0,17836932310570.0,9999756972636.0,1497701217666.0,,69142056294441.0
"Vốn tài trợ, ủy thác dầu tư,cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác dầu tư,cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác dầu tư,cho vay TCTD chịu rủi ro",-,-,163.385.575.000,575.066.475.000,527.921.334.000,4.121.831.250,3.230.838.097.590,127.119.992.794,4.628.453.305.634,,,163385575000.0,575066475000.0,527921334000.0,4121831250.0,3230838097590.0,127119992794.0,4628453305634.0
Phát hành giây tờ có giả,Nợ phải trả > Phát hành giây tờ có giả,Phát hành giây tờ có giả,-,-,369.473.000.000,236.246.538.057,930.604.930.000,868.241.514.150,9.360.000.000.000,-,11.764.565.982.207,,,369473000000.0,236246538057.0,930604930000.0,868241514150.0,9360000000000.0,,11764565982207.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.578.622.877.650,-,-,-,-,-,-,2.578.622.877.650,,2578622877650.0,,,,,,,2578622877650.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,2.578.622.877.650,40.698.436.155.470,17.866.768.881.847,19.610.154.979.849,11.466.628.753.375,14.302.491.779.056,129.717.061.733,106.652.820.488.980,,2578622877650.0,40698436155470.0,17866768881847.0,19610154979849.0,11466628753375.0,14302491779056.0,129717061733.0,106652820488980.0
Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],2.557.105.258.822,3.412.107.902.065,(14.001.811.593.493),16.127.420.160.425,2.637.875.903.581,(4.700.454.492.187),(1.641.391.246.732),7.925.949.538.267,12.316.801.430.748,2557105258822.0,3412107902065.0,-14001811593493.0,16127420160425.0,2637875903581.0,-4700454492187.0,-1641391246732.0,7925949538267.0,12316801430748.0
Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
Mức chênh nhạy cảm với lãi suất nội. ngoại bảng[(5)=(3)+(4)],Mức chênh nhạy cảm với lãi suất ngoại bảng (4) > Mức chênh nhạy cảm với lãi suất nội. ngoại bảng[(5)=(3)+(4)],Mức chênh nhạy cảm với lãi suất nội. ngoại bảng[(5)=(3)+(4)],2.557.105.258.822,3.412.107.902.065,(14.001.811.593.493),16.127.420.160.425,2.637.875.903.581,(4.700.454.492.187),(1.641.391.246.732),7.925.949.538.267,12.316.801.430.748,2557105258822.0,3412107902065.0,-14001811593493.0,16127420160425.0,2637875903581.0,-4700454492187.0,-1641391246732.0,7925949538267.0,12316801430748.0
