row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Quá hạn > Quá hạn trên3 thángVND,Quá hạn > Quá hạn đến3 thángVND,Quá hạn > Đến 1 thángVND,Trong hạn > Từ trên 1 đến3 thángVND,Trong hạn > Từ trên 3 đến12 thángVND,Trong hạn > Từ trên 1 đến5 nămVND,Trong hạn > Trên 5 nămVND,Trong hạn > TổngVND,numeric__Quá hạn > Quá hạn trên3 thángVND,numeric__Quá hạn > Quá hạn đến3 thángVND,numeric__Quá hạn > Đến 1 thángVND,numeric__Trong hạn > Từ trên 1 đến3 thángVND,numeric__Trong hạn > Từ trên 3 đến12 thángVND,numeric__Trong hạn > Từ trên 1 đến5 nămVND,numeric__Trong hạn > Trên 5 nămVND,numeric__Trong hạn > TổngVND
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,4.800.000.000,-,283.323.462.243,208.445.911.736,338.326.662.212,2.331.119.020.502,312.398.556.819,3.478.413.613.512,4800000000.0,,283323462243.0,208445911736.0,338326662212.0,2331119020502.0,312398556819.0,3478413613512.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),1.314.036.814.631,1.243.068.444.191,15.815.021.299.732,13.408.767.297.284,17.681.479.246.826,32.034.138.345.226,37.473.110.471.838,118.969.621.919.728,1314036814631.0,1243068444191.0,15815021299732.0,13408767297284.0,17681479246826.0,32034138345226.0,37473110471838.0,118969621919728.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,-,170.256.322.260,-,-,170.256.322.260,,,,,170256322260.0,,,170256322260.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,12.896.317.920.057,4.517.049.735.634,738.948.518.358,213.952.463.800,2.597.068.939,18.368.865.706.788,,,12896317920057.0,4517049735634.0,738948518358.0,213952463800.0,2597068939.0,18368865706788.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,27.180.954.582.806,12.581.043.583.533,27.882.278.358.649,1.497.156.289.453,623.480.000,69.142.056.294.441,,,27180954582806.0,12581043583533.0,27882278358649.0,1497156289453.0,623480000.0,69142056294441.0
"Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro",-,-,163.387.575.000,575.065.475.000,532.042.165.250,3.230.838.097.590,127.119.992.794,4.628.453.305.634,,,163387575000.0,575065475000.0,532042165250.0,3230838097590.0,127119992794.0,4628453305634.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,369.473.000.000,236.246.538.057,1.738.846.444.150,9.420.000.000.000,-,11.764.565.982.207,,,369473000000.0,236246538057.0,1738846444150.0,9420000000000.0,,11764565982207.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,394.807.802.313,386.455.961.144,1.415.337.632.470,381.838.363.799,183.117.924,2.578.622.877.650,,,394807802313.0,386455961144.0,1415337632470.0,381838363799.0,183117924.0,2578622877650.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,41.004.940.880.176,18.295.861.293.368,32.477.709.441.137,14.743.785.214.642,130.523.659.657,106.652.820.488.980,,,41004940880176.0,18295861293368.0,32477709441137.0,14743785214642.0,130523659657.0,106652820488980.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],1.314.036.814.631,1.243.068.444.191,(25.189.919.580.444),(4.887.093.996.084),(14.796.230.194.311),17.290.353.130.584,37.342.586.812.181,12.316.801.430.748,1314036814631.0,1243068444191.0,-25189919580444.0,-4887093996084.0,-14796230194311.0,17290353130584.0,37342586812181.0,12316801430748.0
