row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 10.3 Tài sản có khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,,,,,,
,,,,31/12/2017,01/01/2017,,,
"Tiền, vàng gửi không kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",,3.661.324,2.276.865,,3661324.0,2276865.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,,3.616.501,2.236.499,,3616501.0,2236499.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,,44.823,40.366,,44823.0,40366.0
"Tiền, vàng gửi có kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",,41.870.807,39.320.096,,41870807.0,39320096.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,,39.676.860,37.083.598,,39676860.0,37083598.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,,2.193.947,2.236.498,,2193947.0,2236498.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,,37.446,216,,37446.0,216.0
Tiền gửi kỳ quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,,150.045,194.529,,150045.0,194529.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,,147.496,171.352,,147496.0,171352.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,,2.549,23.176,,2549.0,23176.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,,45.719.622,41.791.705,,45719622.0,41791705.0
