row_label_raw,row_label_full,col_0,Trên 3 tháng VND,Đến 3 tháng VND,Đến 1 tháng VND,Từ 1 đến 3 tháng VND,Từ 3 đến 12 tháng VND,Từ 1 đến 5 năm VND,Trên 5 năm VND,Tổng cộng VND,numeric__Trên 3 tháng VND,numeric__Đến 3 tháng VND,numeric__Đến 1 tháng VND,numeric__Từ 1 đến 3 tháng VND,numeric__Từ 3 đến 12 tháng VND,numeric__Từ 1 đến 5 năm VND,numeric__Trên 5 năm VND,numeric__Tổng cộng VND
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,6.130.085.503.275,1.256.420.626.938,41.935.504.717.758,16.242.342.723.089,38.909.926.112.741,40.439.508.510.196,97.774.990.509.124,242.688.778.703.121,6130085503275.0,1256420626938.0,41935504717758.0,16242342723089.0,38909926112741.0,40439508510196.0,97774990509124.0,242688778703121.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,94.394.453.562,-,-,94.394.453.562,,,,,94394453562.0,,,94394453562.0
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,28.094.766.607.720,2.528.020.778.861,318.350.574.189,98.727.234.997,-,31.039.865.195.767,,,28094766607720.0,2528020778861.0,318350574189.0,98727234997.0,,31039865195767.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,45.791.498.898.021,34.198.577.707.031,42.492.971.604.539,3.485.313.381.911,125.885.127,125.968.487.476.629,,,45791498898021.0,34198577707031.0,42492971604539.0,3485313381911.0,125885127.0,125968487476629.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,1.673.701.778,488.790.149.000,3.867.731.403.035,-,4.358.195.253.813,,,,1673701778.0,488790149000.0,3867731403035.0,,4358195253813.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.021.825.000.000,3.400.000.000.000,780.000.000.000,31.606.500.000.000,-,37.808.325.000.000,,,2021825000000.0,3400000000000.0,780000000000.0,31606500000000.0,,37808325000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.027.123.559.723,1.709.336.024.686,8.787.023.387.481,810.704.335.850,1.146.262,12.334.188.454.002,,,1027123559723.0,1709336024686.0,8787023387481.0,810704335850.0,1146262.0,12334188454002.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,76.935.214.065.464,41.837.608.212.356,52.961.530.168.771,39.868.976.355.793,127.031.389,211.603.455.833.773,,,76935214065464.0,41837608212356.0,52961530168771.0,39868976355793.0,127031389.0,211603455833773.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,6.130.085.503.275,1.256.420.626.938,(34.999.709.347.706),(25.595.265.489.267),(14.051.604.056.030),570.532.154.403,97.774.863.477.735,31.085.322.869.348,6130085503275.0,1256420626938.0,-34999709347706.0,-25595265489267.0,-14051604056030.0,570532154403.0,97774863477735.0,31085322869348.0
