row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,31/12/2024,01/01/2024,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
"VI. Góp vốn, đầu tư dài hạn","A. TÀI SẢN > VI. Góp vốn, đầu tư dài hạn","VI. Góp vốn, đầu tư dài hạn",V.07,82.610.010.000,82.610.010.000,,82610010000.0,82610010000.0
1. Đầu tư dài hạn khác,A. TÀI SẢN > 1. Đầu tư dài hạn khác,1. Đầu tư dài hạn khác,,82.610.010.000,82.610.010.000,,82610010000.0,82610010000.0
VII. Tài sản cố định,A. TÀI SẢN > VII. Tài sản cố định,VII. Tài sản cố định,,235.920.702.325,243.920.503.501,,235920702325.0,243920503501.0
1. Tài sản cố định hữu hình,A. TÀI SẢN > 1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,V.08,79.492.173.316,77.571.834.265,,79492173316.0,77571834265.0
a. Nguyên giá TSCĐ,A. TÀI SẢN > a. Nguyên giá TSCĐ,a. Nguyên giá TSCĐ,,319.125.415.705,307.401.197.342,,319125415705.0,307401197342.0
b. Hao mòn TSCĐ,A. TÀI SẢN > b. Hao mòn TSCĐ,b. Hao mòn TSCĐ,,(239.633.242.389),(229.829.363.077),,-239633242389.0,-229829363077.0
2. Tài sản cố định vô hình,A. TÀI SẢN > 2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,V.09,156.428.529.009,166.348.669.236,,156428529009.0,166348669236.0
a. Nguyên giá TSCĐ,A. TÀI SẢN > a. Nguyên giá TSCĐ,a. Nguyên giá TSCĐ,,268.564.701.169,262.560.680.465,,268564701169.0,262560680465.0
b. Hao mòn TSCĐ,A. TÀI SẢN > b. Hao mòn TSCĐ,b. Hao mòn TSCĐ,,(112.136.172.160),(96.212.011.229),,-112136172160.0,-96212011229.0
VIII. Tài sản Có khác,A. TÀI SẢN > VIII. Tài sản Có khác,VIII. Tài sản Có khác,V.10,6.894.311.893.838,11.646.947.894.274,,6894311893838.0,11646947894274.0
1. Các khoản phải thu,A. TÀI SẢN > 1. Các khoản phải thu,1. Các khoản phải thu,,1.858.916.690.044,3.858.416.302.591,,1858916690044.0,3858416302591.0
"2. Các khoản lãi, phí phải thu","A. TÀI SẢN > 2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu",,4.676.753.561.658,7.928.169.513.441,,4676753561658.0,7928169513441.0
3. Tài sản Có khác,A. TÀI SẢN > 3. Tài sản Có khác,3. Tài sản Có khác,,726.652.741.577,124.040.677.683,,726652741577.0,124040677683.0
- Trong đó: Lợi thế thương mại,- Trong đó: Lợi thế thương mại,- Trong đó: Lợi thế thương mại,,-,-,,,
4. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,- Trong đó: Lợi thế thương mại > 4. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,4. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(368.011.099.441),(263.678.599.441),,-368011099441.0,-263678599441.0
TỔNG TÀI SẢN CÓ,- Trong đó: Lợi thế thương mại > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,119.832.036.692.527,112.195.863.808.294,,119832036692527.0,112195863808294.0
