row_label_raw,row_label_full,col_0,MS,TM,31/12/2016VND,01/01/2016VND,numeric__MS,numeric__TM,numeric__31/12/2016VND,numeric__01/01/2016VND
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,,1.814.248.260.646,1.435.094.037.096,242.0,,1814248260646.0,1435094037096.0
V. Các khoản đầu tư tài chính dài hạn,V. Các khoản đầu tư tài chính dài hạn,V. Các khoản đầu tư tài chính dài hạn,250,5.2,1.833.764.570.230,1.609.091.199.746,250.0,52.0,1833764570230.0,1609091199746.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.523.831.354.528,1.304.157.984.044,251.0,,1523831354528.0,1304157984044.0
"2. Đầu tư vào công ty liên kết, liên doanh","2. Đầu tư vào công ty liên kết, liên doanh","2. Đầu tư vào công ty liên kết, liên doanh",252,,301.677.049.400,301.677.049.400,252.0,,301677049400.0,301677049400.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,6.130.000.000,6.130.000.000,253.0,,6130000000.0,6130000000.0
4. Dự phòng giảm giá đầu tư tài chính dài hạn,4. Dự phòng giảm giá đầu tư tài chính dài hạn,4. Dự phòng giảm giá đầu tư tài chính dài hạn,254,,(2.873.833.698),(2.873.833.698),254.0,,-2873833698.0,-2873833698.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,255,,5.000.000.000,-,255.0,,5000000000.0,
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,3.260.548.650,3.054.002.117,260.0,,3260548650.0,3054002117.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.11,3.260.548.650,3.054.002.117,261.0,511.0,3260548650.0,3054002117.0
TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),270,,5.988.506.386.412,5.060.293.257.932,270.0,,5988506386412.0,5060293257932.0
