row_label_raw,row_label_full,A - TÀI SẢN,Thuyết minh,Số cuối năm,Đơn vị tính: triệu VND,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: triệu VND
1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,,-,-,,,
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,1. Chứng khoán đầu tư sẵn sàng để bán > 2. Chứng khoán đầu tư giữ đến ngày đáo hạn,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,V.7,752.229,1.050.857,,752229.0,1050857.0
3. Dự phòng rủi ro chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán > 3. Dự phòng rủi ro chứng khoán đầu tư,3. Dự phòng rủi ro chứng khoán đầu tư,V.7,(229.826),(231.229),,-229826.0,-231229.0
"IX. Góp vốn, đầu tư dài hạn","1. Chứng khoán đầu tư sẵn sàng để bán > IX. Góp vốn, đầu tư dài hạn","IX. Góp vốn, đầu tư dài hạn",V.8,98.724,99.347,,98724.0,99347.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,,-,,,,
2. Vốn góp liên doanh,2. Vốn góp liên doanh,2. Vốn góp liên doanh,,-,-,,,
3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,,-,-,,,
4. Đầu tư dài hạn khác,3. Đầu tư vào công ty liên kết > 4. Đầu tư dài hạn khác,4. Đầu tư dài hạn khác,V.8,125.655,125.655,,125655.0,125655.0
5. Dự phòng giám giá đầu tư dài hạn,3. Đầu tư vào công ty liên kết > 5. Dự phòng giám giá đầu tư dài hạn,5. Dự phòng giám giá đầu tư dài hạn,V.8,(26.931),(26.308),,-26931.0,-26308.0
X. Tài sản cố định,3. Đầu tư vào công ty liên kết > X. Tài sản cố định,X. Tài sản cố định,,1.153.894,1.192.230,,1153894.0,1192230.0
1. Tài sản cố định hữu hình,3. Đầu tư vào công ty liên kết > 1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,V.9,731.348,765.997,,731348.0,765997.0
a. Nguyên giá tài sản cố định,3. Đầu tư vào công ty liên kết > a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,1.232.372,1.217.935,,1232372.0,1217935.0
b. Hao mòn tài sản cố định,3. Đầu tư vào công ty liên kết > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(501.024),(451.938),,-501024.0,-451938.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,,-,-,,,
a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,-,-,,,
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,-,-,,,
3. Tài sản cố định vô hình,b. Hao mòn tài sản cố định > 3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,V.10,422.546,426.233,,422546.0,426233.0
a. Nguyên giá tài sản cố định,b. Hao mòn tài sản cố định > a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,511.841,511.841,,511841.0,511841.0
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(89.295),(85.608),,-89295.0,-85608.0
XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,,-,-,,,
a. Nguyên giá bất động sản đầu tư,a. Nguyên giá bất động sản đầu tư,a. Nguyên giá bất động sản đầu tư,,-,-,,,
b. Hao mòn bất động sản đầu tư,b. Hao mòn bất động sản đầu tư,b. Hao mòn bất động sản đầu tư,,-,-,,,
XII. Tài sản có khác,b. Hao mòn bất động sản đầu tư > XII. Tài sản có khác,XII. Tài sản có khác,,359.756,330.825,,359756.0,330825.0
1. Các khoản phải thu,b. Hao mòn bất động sản đầu tư > 1. Các khoản phải thu,1. Các khoản phải thu,V.11,110.650,70.689,,110650.0,70689.0
"2. Các khoản lãi, phí phải thu","b. Hao mòn bất động sản đầu tư > 2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu",V.12,193.723,206.806,,193723.0,206806.0
3. Tài sản thuế thu nhập doanh nghiệp hoãn lại,3. Tài sản thuế thu nhập doanh nghiệp hoãn lại,3. Tài sản thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,
4. Tài sản có khác,3. Tài sản thuế thu nhập doanh nghiệp hoãn lại > 4. Tài sản có khác,4. Tài sản có khác,V.13,55.383,53.330,,55383.0,53330.0
5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,,-,-,,,
TỔNG TÀI SẢN CÓ,5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,23.942.788,22.812.835,,23942788.0,22812835.0
