row_label_raw,row_label_full,Đơn vị tính: VND > Dự án,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Dự án Vincom Quảng Bình,Dự án Vincom Quảng Bình,Dự án Vincom Quảng Bình,295.232.966.763,79.922.045.343,295232966763.0,79922045343.0
Dự án khu đô thị sinh thái đào Vũ Yên,Dự án khu đô thị sinh thái đào Vũ Yên,Dự án khu đô thị sinh thái đào Vũ Yên,296.738.973.259,901.924.230.619,296738973259.0,901924230619.0
Dự án Làng Văn,Dự án Làng Văn,Dự án Làng Văn,271.117.951.582,269.546.570.195,271117951582.0,269546570195.0
Dự án Vinhomes Green Bay,Dự án Vinhomes Green Bay,Dự án Vinhomes Green Bay,266.228.592.019,87.901.749.375,266228592019.0,87901749375.0
Dự án Vincom Tây Ninh,Dự án Vincom Tây Ninh,Dự án Vincom Tây Ninh,255.261.897.829,34.526.928.419,255261897829.0,34526928419.0
Dự án Vinpearl Hội An,Dự án Vinpearl Hội An,Dự án Vinpearl Hội An,-,192.334.811.149,,192334811149.0
Dự án Vinpearl Beach Front Condotel,Dự án Vinpearl Beach Front Condotel,Dự án Vinpearl Beach Front Condotel,239.801.405.819,-,239801405819.0,
Dự án Vinhomes Riverside The Harmony,Dự án Vinhomes Riverside The Harmony,Dự án Vinhomes Riverside The Harmony,247.632.049.160,-,247632049160.0,
Dự án Hòn Một,Dự án Hòn Một,Dự án Hòn Một,235.543.778.539,230.209.993.419,235543778539.0,230209993419.0
"Dự án Vincom Plaza Suối Hoa, Bắc Ninh","Dự án Vincom Plaza Suối Hoa, Bắc Ninh","Dự án Vincom Plaza Suối Hoa, Bắc Ninh",234.926.380.939,292.944.453.570,234926380939.0,292944453570.0
Dự án Vincom Hà Nam,Dự án Vincom Hà Nam,Dự án Vincom Hà Nam,217.685.076.583,81.799.536.519,217685076583.0,81799536519.0
Dự án xây dựng chuỗi siêu thị Maximark,Dự án xây dựng chuỗi siêu thị Maximark,Dự án xây dựng chuỗi siêu thị Maximark,128.746.631.423,173.679.009.391,128746631423.0,173679009391.0
Dự án Ngôi sao Phương Nam,Dự án Ngôi sao Phương Nam,Dự án Ngôi sao Phương Nam,189.461.963.039,189.272.511.069,189461963039.0,189272511069.0
Dự án Vincom Sơn La,Dự án Vincom Sơn La,Dự án Vincom Sơn La,172.796.852.936,13.985.448.991,172796852936.0,13985448991.0
Dự án Vinpearl Phú Quốc,Dự án Vinpearl Phú Quốc,Dự án Vinpearl Phú Quốc,171.682.130.746,229.381.668.929,171682130746.0,229381668929.0
Dự án Vinpearl Empire Condotel,Dự án Vinpearl Empire Condotel,Dự án Vinpearl Empire Condotel,144.584.162.905,139.354.536.405,144584162905.0,139354536405.0
Dự án Vincom Lạng Sơn,Dự án Vincom Lạng Sơn,Dự án Vincom Lạng Sơn,171.152.826.356,46.830.447.487,171152826356.0,46830447487.0
Dự án công viên Hoa Hạ Long,Dự án công viên Hoa Hạ Long,Dự án công viên Hoa Hạ Long,143.865.288.978,42.171.335.715,143865288978.0,42171335715.0
Các hàng mục sửa chữa cải tạo chuỗi siêu thị Vinmart và cửa hàng liên ích Vinmart+,Các hàng mục sửa chữa cải tạo chuỗi siêu thị Vinmart và cửa hàng liên ích Vinmart+,Các hàng mục sửa chữa cải tạo chuỗi siêu thị Vinmart và cửa hàng liên ích Vinmart+,100.471.040.773,181.263.354.228,100471040773.0,181263354228.0
Dự án Vinpearl Cửa Hội,Dự án Vinpearl Cửa Hội,Dự án Vinpearl Cửa Hội,90.792.873.500,140.876.937.416,90792873500.0,140876937416.0
Dự án Giăng Võ,Dự án Giăng Võ,Dự án Giăng Võ,70.871.783.274,49.735.587.160,70871783274.0,49735587160.0
Dự án Vinhomes Gardenia,Dự án Vinhomes Gardenia,Dự án Vinhomes Gardenia,38.909.817.094,310.114.974.026,38909817094.0,310114974026.0
Dự án Vincom Hà Tĩnh,Dự án Vincom Hà Tĩnh,Dự án Vincom Hà Tĩnh,-,330.725.763.495,,330725763495.0
Dự án Vincom Vĩnh Long,Dự án Vincom Vĩnh Long,Dự án Vincom Vĩnh Long,-,262.530.998.697,,262530998697.0
Dự án Times City Park Hill,Dự án Times City Park Hill,Dự án Times City Park Hill,-,203.234.960.766,,203234960766.0
Dự án Tây Hồ View,Dự án Tây Hồ View,Dự án Tây Hồ View,-,169.954.400.993,,169954400993.0
Dự án Vincom Plaza Trà Vinh,Dự án Vincom Plaza Trà Vinh,Dự án Vincom Plaza Trà Vinh,-,139.556.964.057,,139556964057.0
Dự án Vincom Plaza Hậu Giang,Dự án Vincom Plaza Hậu Giang,Dự án Vincom Plaza Hậu Giang,-,115.769.011.486,,115769011486.0
Dự án Nam Long,Dự án Nam Long,Dự án Nam Long,-,104.000.000.000,,104000000000.0
Các dự án khác,Các dự án khác,Các dự án khác,967.672.413.700,1.001.391.488.571,967672413700.0,1001391488571.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,37.492.138.281.596,34.229.427.585.378,37492138281596.0,34229427585378.0
