row_label_raw,row_label_full,col_0,Quả hạn,Quả hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng côngVND,numeric__Quả hạn,numeric__Quả hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng côngVND
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,545.543.991.339,545.543.991.339,,,,,,,545543991339.0,545543991339.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,4.800.000.000,-,235.868.467.143,228.660.680.474,346.042.235.681,4.520.387.020.658,1.974.691.731.819,7.310.450.135.775,4800000000.0,,235868467143.0,228660680474.0,346042235681.0,4520387020658.0,1974691731819.0,7310450135775.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.439.136.285.623,1.695.447.461.644,17.687.261.974.909,13.209.240.399.665,20.178.377.558.211,36.422.856.796.252,62.880.461.708.752,153.512.782.185.056,1439136285623.0,1695447461644.0,17687261974909.0,13209240399665.0,20178377558211.0,36422856796252.0,62880461708752.0,153512782185056.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,152.190.306.083,-,-,152.190.306.083,,,,,152190306083.0,,,152190306083.0
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,14.750.266.276.753,6.773.393.931.137,1.109.036.170.166,204.049.695.000,974.642.669,22.837.720.715.725,,,14750266276753.0,6773393931137.0,1109036170166.0,204049695000.0,974642669.0,22837720715725.0
"Tiền gửi của khách hàng Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàng Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Tiền gửi của khách hàng Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,35.600.209.690.095,17.368.258.050.771,30.314.770.165.323,3.888.026.834.580,110.870.000,87.171.375.610.769,,,35600209690095.0,17368258050771.0,30314770165323.0,3888026834580.0,110870000.0,87171375610769.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,231.250.000.000,232.243.018.750,1.186.009.834.375,3.225.530.381.382,60.387.478.355,4.935.420.712.862,,,231250000000.0,232243018750.0,1186009834375.0,3225530381382.0,60387478355.0,4935420712862.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,710.000.000.000,-,1.800.000.000.000,13.824.562.500.000,-,16.334.562.500.000,,,710000000000.0,,1800000000000.0,13824562500000.0,,16334562500000.0
,,,,,500.374.987.549,413.181.565.225,2.254.560.704.280,494.044.718.376,63.844.482,3.662.225.819.912,,,500374987549.0,413181565225.0,2254560704280.0,494044718376.0,63844482.0,3662225819912.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,51.792.100.954.397,24.787.076.565.883,36.816.567.180.227,21.636.214.129.338,61.536.835.506,135.093.495.665.351,,,51792100954397.0,24787076565883.0,36816567180227.0,21636214129338.0,61536835506.0,135093495665351.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.439.136.285.623,1.695.447.461.644,(34.104.838.979.488),(11.577.836.166.218),(16.638.189.622.016),14.786.642.666.914,62.818.924.873.246,18.419.286.519.705,1439136285623.0,1695447461644.0,-34104838979488.0,-11577836166218.0,-16638189622016.0,14786642666914.0,62818924873246.0,18419286519705.0
