row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(937.375.248.477),(724.735.852.400),11.0,-937375248477.0,-724735852400.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,387.075.000.000,-,12.0,387075000000.0,
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,390.000.000.000,-,,390000000000.0,
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(2.925.000.000),-,,-2925000000.0,
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,33.588.023.036.072,22.873.713.733.332,13.0,33588023036072.0,22873713733332.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,33.607.191.427.787,22.934.127.428.730,,33607191427787.0,22934127428730.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(19.168.391.715),(60.413.695.398),,-19168391715.0,-60413695398.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,2.905.246.550,4.838.475.818,14.0,2905246550.0,4838475818.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,22.540.000.000,24.540.000.000,,22540000000.0,24540000000.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(19.634.753.450),(19.701.524.182),,-19634753450.0,-19701524182.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,15,545.543.991.339,595.402.569.540,15.0,545543991339.0,595402569540.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,272.377.860.252,316.367.768.679,151.0,272377860252.0,316367768679.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,647.867.062.875,645.486.497.178,,647867062875.0,645486497178.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(375.489.202.623),(329.118.728.499),,-375489202623.0,-329118728499.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,273.166.131.087,279.034.800.861,152.0,273166131087.0,279034800861.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,448.220.335.527,418.215.816.476,,448220335527.0,418215816476.0
Hao môn tài sản cố định,TÀI SẢN > Hao môn tài sản cố định,Hao môn tài sản cố định,,(175.054.204.440),(139.181.015.615),,-175054204440.0,-139181015615.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,7.305.650.135.775,3.473.613.613.512,16.0,7305650135775.0,3473613613512.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,"16.1, 16.2",5.495.307.810.130,1.683.912.353.040,,5495307810130.0,1683912353040.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.3,1.519.027.836.647,1.401.523.985.520,163.0,1519027836647.0,1401523985520.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.4,296.114.488.998,392.977.274.952,164.0,296114488998.0,392977274952.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.5,(4.800.000.000),(4.800.000.000),165.0,-4800000000.0,-4800000000.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,152.528.878.791.414,118.159.970.847.748,,152528878791414.0,118159970847748.0
